Response ID,Which of the below factors influence the most about your career aspirations ?,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.,What is the most preferred working environment for you.,Your Current Zip Code / Pin Code,"Which of the below careers looks close to your Aspirational job ?
"
3036,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,560076,"""Design and Creative strategy in any company"
3037,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,828201
3038,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
3039,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,500032
3040,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,831019
3041,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
3042,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,580007
3043,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,580008
3044,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,474005
3045,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,605003,"""Design and Creative strategy in any company"
3046,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,605003,"""Manage and drive End-to-End Projects or Products"
3047,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Every Day Office Environment,110044
3048,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,801302
3049,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,500052
3050,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
3051,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices,400706
3052,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Every Day Office Environment
3053,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,560058,"""Manage and drive End-to-End Projects or Products"
3054,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,,"""Design and Creative strategy in any company"
3055,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,222161
3056,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,221010
3057,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Every Day Office Environment
3058,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,110030,"""Design and Creative strategy in any company"
3059,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,560035
3060,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,221010
3061,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,212655
3062,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,74400
3063,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,75350
3064,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
